,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
0,2,B,1,Sample,93,46,23,,0.5600137932674585,0.9827702055947439,Initial Detection,
1,2,B,2,Sample,199,47,23,,0.5771840331038417,1.012902320797939,Initial Detection,
2,2,B,3,Sample,303,40,25,,0.5732824196139041,1.0060553653519224,Backfilled,
3,2,B,4,Sample,411,48,24,,0.5803110511952125,1.018389936012958,Initial Detection,
4,2,B,5,Sample,519,47,24,,0.584947226514977,1.0265259766372328,Initial Detection,
5,2,B,6,Sample,625,47,25,,0.5835136527563111,1.024010192928908,Initial Detection,
6,2,B,7,Sample,732,44,23,,0.5856193295996385,1.0277054527405618,Initial Detection,
7,2,B,8,Sample,838,44,23,,0.5834718605453096,1.0239368516285832,Initial Detection,
8,2,B,9,Sample,944,43,25,,0.5839480356800111,1.0247724930728757,Initial Detection,
9,2,B,10,Sample,1049,40,25,,0.580511359618551,1.0187414579803693,Backfilled,
10,2,B,11,Sample,1145,42,24,,0.5858635013535878,1.0281339506234963,Initial Detection,
11,2,B,12,Sample,1252,41,24,,0.5876127533182081,1.0312037191427261,Initial Detection,
12,2,B,13,Sample,1358,40,24,,0.5954427383026993,1.0449445877526125,Initial Detection,
13,2,B,14,Sample,1462,40,24,,0.5924681331448173,1.0397244425388341,Initial Detection,
14,2,B,15,Sample,1572,38,25,,0.5917608671495387,1.0384832589180977,Initial Detection,
15,2,B,16,Sample,1677,38,24,,0.5933186466313747,1.0412170116935477,Initial Detection,
16,2,B,17,Sample,1784,37,25,,0.589556626359972,1.0346150288852203,Initial Detection,
17,2,B,18,Sample,1892,37,24,,0.5980249673933294,1.0494761508048092,Initial Detection,
18,2,B,19,Sample,1999,38,24,,0.5941077828560153,1.0426018696721473,Initial Detection,
19,2,B,20,Sample,2105,35,24,,0.5911792106445707,1.0374625078404542,Initial Detection,
20,3,C,1,Sample,89,167,22,,0.568884050646035,0.9983366519437868,Initial Detection,
21,3,C,2,Sample,198,170,24,,0.5788401889542848,1.0158087146139563,Initial Detection,
22,3,C,3,Sample,306,168,24,,0.5824132224158527,1.0220790437948395,Initial Detection,
23,3,C,4,Sample,412,167,24,,0.5828582075647474,1.0228599498216613,Initial Detection,
24,3,C,5,Sample,518,167,23,,0.586798891782304,1.029775470627097,Initial Detection,
25,3,C,6,Sample,626,167,24,,0.584868312892513,1.0263874908393729,Initial Detection,
26,3,C,7,Sample,730,166,23,,0.5859808083330359,1.028339813060629,Initial Detection,
27,3,C,8,Sample,836,165,24,,0.5865035785135742,1.0292572243172495,Initial Detection,
28,3,C,9,Sample,942,164,23,,0.5883660923435474,1.0325257564884414,Initial Detection,
29,3,C,10,Sample,1042,165,23,,0.5878191179443274,1.0315658691620238,Initial Detection,
30,3,C,11,Sample,1150,164,22,,0.5904228710651477,1.0361352048116625,Initial Detection,
31,3,C,12,Sample,1254,163,23,,0.5920236863696356,1.038944481305964,Initial Detection,
32,3,C,13,Sample,1359,159,22,,0.6022938454958982,1.0569676202310214,Initial Detection,
33,3,C,14,Sample,1464,160,24,,0.5937307511042426,1.0419402153045942,Initial Detection,
34,3,C,15,Sample,1572,159,25,,0.592803386166419,1.04031277926362,Initial Detection,
35,3,C,16,Sample,1678,161,25,,0.5889808164378579,1.0336045379967052,Initial Detection,
36,3,C,17,Sample,1784,159,23,,0.590133057467984,1.0356266098950857,Initial Detection,
37,3,C,18,Sample,1894,159,23,,0.5964280193581373,1.0466736609952048,Initial Detection,
38,3,C,19,Sample,1997,157,23,,0.5958953138562884,1.0457388142077373,Initial Detection,
39,3,C,20,Sample,2108,157,24,,0.5989280899615294,1.0510610438247623,Initial Detection,
40,4,D,1,Sample,91,290,24,,0.5749164282817654,1.0089228929981398,Initial Detection,
41,4,D,2,Sample,197,289,24,,0.5836539199245936,1.0242563482834164,Initial Detection,
42,4,D,3,Sample,305,289,24,,0.5800217012461775,1.017882154754138,Initial Detection,
43,4,D,4,Sample,413,289,24,,0.5839827266848605,1.0248333724411662,Initial Detection,
44,4,D,5,Sample,518,287,24,,0.5840375278115716,1.0249295431341243,Initial Detection,
45,4,D,6,Sample,625,286,23,,0.5873125720876584,1.0306769300292977,Initial Detection,
46,4,D,7,Sample,730,287,24,,0.5890200462521508,1.0336733825378959,Initial Detection,
47,4,D,8,Sample,836,286,24,,0.5879459441686119,1.0317884369559125,Initial Detection,
48,4,D,9,Sample,942,286,24,,0.587259834062188,1.030584379880074,Initial Detection,
49,4,D,10,Sample,1043,285,23,,0.5832221548413179,1.0234986421969579,Initial Detection,
