,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity
0,A,1,1,87,86,23,0.37499999999999956,6.0138350603348885,kept,,173,1,0.796492610439333
1,A,1,2,190,88,23,0.31617647058823506,4.676991790992686,kept,,278,102,0.7978826357951735
2,A,1,3,297,89,24,0.45833333333333265,3.032048581512665,kept,,386,208,0.7997716964168461
3,A,1,4,403,89,23,0.4632352941176463,3.048981828186706,kept,,492,314,0.8002323443545374
4,A,1,5,509,93,24,0.4722222222222215,1.826416065043184,kept,,602,416,0.8005919730076473
5,A,1,6,612,95,23,0.43382352941176405,3.897433164896322,kept,,707,517,0.8020628137911529
6,A,1,7,717,92,22,0.484375,1.5038102182174953,kept,,809,625,0.829077390873918
7,A,1,8,822,93,30,0.6704545454545466,1.819287281644434,kept,42.0,915,729,0.9112464769524503
8,A,1,9,932,98,20,0.3833333333333337,6.486257420755284,kept,41.0,1030,834,0.8512066753543253
9,A,1,10,1031,92,23,,0,backfilled,40.0,1123,939,0.83188370659959
10,A,1,11,1156,91,29,0.30357142857142855,3.1622776601683795,kept,40.0,1247,1065,0.8375104807507754
11,A,1,12,1260,100,21,0.4296875,8.06225774829855,kept,48.0,1360,1160,0.8233799032235255
12,A,1,13,1366,99,20,0.4000000000000004,7.280109889280518,kept,47.0,1465,1267,0.8134456667777881
13,A,1,14,1470,94,21,0.3125,2.8284271247461903,kept,59.0,1564,1376,0.807501692073017
14,A,1,15,1578,92,23,0.43382352941176405,2.0,kept,52.0,1670,1486,0.8028972330817955
15,A,1,16,1680,95,21,0.453125,5.0,kept,58.0,1775,1585,0.8006242991787134
16,A,1,17,1784,93,23,0.36029411764705843,7.0710678118654755,kept,59.0,1877,1691,0.8017213686092677
17,A,1,18,1895,91,20,0.4250000000000005,2.23606797749979,kept,47.0,1986,1804,0.8133244436362903
18,A,1,19,2002,92,23,,0,backfilled,40.0,2094,1910,0.8374559303371014
19,A,1,20,2111,85,26,0.5328947368421056,7.615773105863909,kept,44.0,2196,2026,0.8576597872533868
20,B,2,1,83,207,23,0.39705882352941124,8.313293387348045,kept,,290,-124,0.7979836550797549
21,B,2,2,186,211,22,0.4375,5.855789558668388,kept,,397,-25,0.7995252093624674
22,B,2,3,297,209,26,0.40131578947368446,6.2381767335583005,kept,,506,88,0.8014061884413737
23,B,2,4,402,211,24,0.3749999999999996,4.342866608444114,kept,,613,191,0.8012425372003517
24,B,2,5,506,213,25,0.4374999999999994,2.1109323704114633,kept,,719,293,0.8025780121425181
25,B,2,6,610,211,22,0.609375,4.634679938324005,kept,,821,399,0.8054004909537231
26,B,2,7,715,218,22,0.40625,3.292568491963145,kept,,933,497,0.8063541130001719
27,B,2,8,818,215,25,0.5833333333333323,3.3728316766570288,kept,,1033,603,0.8109141235061775
28,B,2,9,925,216,24,0.49999999999999917,2.5898297301702287,kept,,1141,709,0.816193391318403
29,B,2,10,1028,218,24,0.5347222222222213,3.3125013118265496,kept,,1246,810,0.8178379852713885
30,B,2,11,1158,219,23,0.4264705882352935,4.123105625617661,kept,,1377,939,0.8274812861775314
31,B,2,12,1257,217,22,0.4765625,4.47213595499958,kept,,1474,1040,0.8188784839025771
32,B,2,13,1365,216,22,0.484375,3.1622776601683795,kept,,1581,1149,0.8184804679213263
33,B,2,14,1476,215,20,0.40833333333333377,4.0,kept,,1691,1261,0.8218666343404957
34,B,2,15,1581,215,20,0.4583333333333339,1.0,kept,,1796,1366,0.8223151599640374
35,B,2,16,1686,212,24,0.36111111111111077,3.605551275463989,kept,,1898,1474,0.8653857421381743
36,B,2,17,1792,213,25,0.49999999999999917,2.23606797749979,kept,,2005,1579,0.8896546150660163
37,B,2,18,1901,216,23,0.4632352941176463,4.123105625617661,kept,,2117,1685,0.9071713590124357
38,B,2,19,2004,209,30,0.45454545454545425,6.324555320336759,kept,44.0,2213,1795,0.9965067531391744
39,B,2,20,2108,215,23,,0,backfilled,41.0,2323,1893,0.9593801456698086
