,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity
0,A,1,1,58,68,23,,0,backfilled,,126,-10,0.8931599842409919
1,A,1,2,336,72,23,,0,backfilled,,408,264,0.9467224293117557
2,A,1,3,431,74,21,0.4140625,0.5791071717243916,kept,42.0,505,357,0.912222323241507
3,A,1,4,535,78,23,0.4999999999999991,1.8013205542871016,kept,58.0,613,457,0.9085411805113599
4,A,1,5,641,78,21,0.46875,3.269713860549555,kept,58.0,719,563,0.9062601650655112
5,A,1,6,746,80,23,,0,backfilled,37.0,826,666,0.9200755624248671
6,A,1,7,851,81,23,,0,backfilled,40.0,932,770,0.9961309614005314
7,A,1,8,960,87,30,0.3920454545454543,4.009456800506786,kept,,1047,873,0.9987736258851814
8,B,2,1,60,200,23,,0,backfilled,,260,-140,0.893028659171036
9,B,2,2,330,198,20,0.35000000000000026,2.989887045788702,kept,,528,132,0.9017728884444042
10,B,2,3,431,202,27,0.37499999999999967,3.143506053077809,kept,,633,229,0.9049307512804197
11,B,2,4,534,197,26,0.40131578947368446,3.0277805628902774,kept,,731,337,0.9101332444363631
12,B,2,5,645,201,22,0.546875,9.446752715829263,kept,,846,444,0.9098746350678346
13,B,2,6,747,197,28,0.38095238095238065,3.8275931645572645,kept,,944,550,0.9100746532513058
14,B,2,7,849,202,22,0.3671875,2.0995767168930137,kept,,1051,647,0.9112929458233578
15,B,2,8,957,203,24,0.6388888888888876,3.287679692135031,kept,,1160,754,0.9123677910113044
16,C,3,1,62,309,23,,0,backfilled,,371,-247,0.8939337919608855
17,C,3,2,326,316,21,0.421875,3.1627911438743452,kept,,642,10,0.8991039589457629
18,C,3,3,426,315,23,,0,backfilled,,741,111,0.897477548464002
19,C,3,4,531,317,23,,0,backfilled,,848,214,0.9000434382923702
20,C,3,5,632,317,20,0.47500000000000064,2.6008708128989495,kept,,949,315,0.901534482932792
21,C,3,6,741,323,27,0.38124999999999964,2.500482998866599,kept,,1064,418,0.9019021931286685
22,C,3,7,850,326,24,0.43055555555555497,4.032611959883893,kept,,1176,524,0.9016698487741311
23,C,3,8,955,323,24,0.49305555555555475,2.2738923568994016,kept,,1278,632,0.9057954763564366
24,D,4,1,64,429,23,,0,backfilled,,493,-365,0.8922467699083758
